"","Symbol","Bid.Price","Ask.Price","High","Low","TimeStamp"
"15098","EUR/USD",1.12153,1.12159,1.12329,1.12047,2020-06-26 07:33:32
"15099","EUR/USD",1.12143,1.12144,1.12329,1.12047,2020-06-26 07:34:34
"15100","EUR/USD",1.12149,1.12153,1.12329,1.12047,2020-06-26 07:35:36
"15101","EUR/USD",1.12168,1.12169,1.12329,1.12047,2020-06-26 07:36:37
"15102","EUR/USD",1.12189,1.12194,1.12329,1.12047,2020-06-26 07:37:39
"15103","EUR/USD",1.12193,1.12198,1.12329,1.12047,2020-06-26 07:38:41
"15104","EUR/USD",1.12227,1.12231,1.12329,1.12047,2020-06-26 07:39:42
"15105","EUR/USD",1.12213,1.12218,1.12329,1.12047,2020-06-26 07:40:44
"15106","EUR/USD",1.12223,1.12228,1.12329,1.12047,2020-06-26 07:41:46
"15107","EUR/USD",1.12219,1.12224,1.12329,1.12047,2020-06-26 07:42:47
"15108","EUR/USD",1.12237,1.12242,1.12329,1.12047,2020-06-26 07:43:49
"15109","EUR/USD",1.12263,1.12268,1.12329,1.12047,2020-06-26 07:44:51
"15110","EUR/USD",1.12253,1.12257,1.12329,1.12047,2020-06-26 07:45:52
"15111","EUR/USD",1.12261,1.12265,1.12329,1.12047,2020-06-26 07:46:55
"15112","EUR/USD",1.12264,1.12268,1.12329,1.12047,2020-06-26 07:47:57
"15113","EUR/USD",1.12243,1.12248,1.12329,1.12047,2020-06-26 07:48:57
"15114","EUR/USD",1.12248,1.12255,1.12329,1.12047,2020-06-26 07:50:00
"15115","EUR/USD",1.12257,1.12262,1.12329,1.12047,2020-06-26 07:51:02
"15116","EUR/USD",1.12284,1.12289,1.12329,1.12047,2020-06-26 07:52:04
"15117","EUR/USD",1.12268,1.12274,1.12329,1.12047,2020-06-26 07:53:05
"15118","EUR/USD",1.12264,1.12266,1.12329,1.12047,2020-06-26 07:54:07
"15119","EUR/USD",1.12264,1.12268,1.12329,1.12047,2020-06-26 07:55:08
"15120","EUR/USD",1.12294,1.12299,1.12329,1.12047,2020-06-26 07:56:10
"15121","EUR/USD",1.12258,1.12264,1.12329,1.12047,2020-06-26 07:57:11
"15122","EUR/USD",1.12268,1.12272,1.12329,1.12047,2020-06-26 07:58:13
"15123","EUR/USD",1.12271,1.12275,1.12329,1.12047,2020-06-26 07:59:15
"15124","EUR/USD",1.12246,1.12248,1.12329,1.12047,2020-06-26 08:00:16
"15125","EUR/USD",1.12256,1.12261,1.12329,1.12047,2020-06-26 08:01:18
"15126","EUR/USD",1.1224,1.12245,1.12329,1.12047,2020-06-26 08:02:19
"15127","EUR/USD",1.1224,1.12244,1.12329,1.12047,2020-06-26 08:03:20
"15128","EUR/USD",1.12223,1.12228,1.12329,1.12047,2020-06-26 08:04:23
"15129","EUR/USD",1.1223,1.12234,1.12329,1.12047,2020-06-26 08:05:25
"15130","EUR/USD",1.12221,1.12227,1.12329,1.12047,2020-06-26 08:06:26
"15131","EUR/USD",1.12227,1.12231,1.12329,1.12047,2020-06-26 08:07:27
"15132","EUR/USD",1.12223,1.12228,1.12329,1.12047,2020-06-26 08:08:29
"15133","EUR/USD",1.12254,1.12259,1.12329,1.12047,2020-06-26 08:09:31
"15134","EUR/USD",1.12258,1.12264,1.12329,1.12047,2020-06-26 08:10:32
"15135","EUR/USD",1.12231,1.12238,1.12329,1.12047,2020-06-26 08:11:34
"15136","EUR/USD",1.12221,1.12228,1.12329,1.12047,2020-06-26 08:12:36
"15137","EUR/USD",1.12233,1.12238,1.12329,1.12047,2020-06-26 08:13:36
"15138","EUR/USD",1.12236,1.12241,1.12329,1.12047,2020-06-26 08:14:38
"15139","EUR/USD",1.12216,1.12221,1.12329,1.12047,2020-06-26 08:15:40
"15140","EUR/USD",1.12226,1.1223,1.12329,1.12047,2020-06-26 08:16:42
"15141","EUR/USD",1.12233,1.12238,1.12329,1.12047,2020-06-26 08:17:44
"15142","EUR/USD",1.12251,1.12257,1.12329,1.12047,2020-06-26 08:18:45
